Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
523,0.00,0.00,0.00,10122.10,0.00
524,0.00,0.00,0.00,10183.10,0.00
525,0.00,0.00,0.00,10182.60,0.00
526,0.00,0.00,0.00,10233.30,0.00
527,0.00,0.00,0.00,10241.20,0.00
528,0.00,0.00,0.00,10278.80,0.00
529,0.00,0.00,0.00,10283.40,0.00
530,0.00,0.00,0.00,10346.50,0.00
531,0.00,0.00,0.00,10313.20,0.00
532,0.00,0.00,0.00,10353.40,0.00
533,0.00,0.00,0.00,10393.40,0.00
534,0.00,0.00,0.00,10388.90,0.00
535,0.00,0.00,0.00,10404.70,0.00
536,0.00,0.00,0.00,10471.70,0.00
537,0.00,0.00,0.00,10444.70,0.00
538,0.00,0.00,0.00,10489.20,0.00
539,0.00,0.00,0.00,10532.10,0.00
540,0.00,0.00,0.00,10528.20,0.00
541,0.00,0.00,0.00,10540.90,0.00
542,0.00,0.00,0.00,10531.00,0.00
543,0.00,0.00,0.00,10573.90,0.00
544,0.00,0.00,0.00,10624.50,0.00
545,0.00,0.00,0.00,10622.50,0.00
546,0.00,0.00,0.00,10677.10,0.00
547,0.00,0.00,0.00,10673.10,0.00
548,0.00,0.00,0.00,10704.50,0.00
549,0.00,0.00,0.00,10722.80,0.00
550,0.00,0.00,0.00,10768.80,0.00
551,0.00,0.00,0.00,10771.50,0.00
552,0.00,0.00,0.00,10790.40,0.00
553,0.00,0.00,0.00,10801.90,0.00
554,0.00,0.00,0.00,10799.50,0.00
555,0.00,0.00,0.00,10855.50,0.00
556,0.00,0.00,0.00,10914.90,0.00
557,0.00,0.00,0.00,10906.20,0.00
558,0.00,0.00,0.00,10966.00,0.00
559,0.00,0.00,0.00,10943.70,0.00
560,0.00,0.00,0.00,10983.70,0.00
561,0.00,0.00,0.00,10963.00,0.00
562,0.00,0.00,0.00,11043.50,0.00
563,0.00,0.00,0.00,10993.80,0.00
564,0.00,0.00,0.00,11115.40,0.00
565,0.00,0.00,0.00,11032.20,0.00
566,0.00,0.00,0.00,11118.90,0.00
567,0.00,0.00,0.00,11135.50,0.00
568,0.00,0.00,0.00,11173.70,0.00
569,0.00,0.00,0.00,11166.70,0.00
570,0.00,0.00,0.00,11211.40,0.00
571,0.00,0.00,0.00,11208.10,0.00
572,0.00,0.00,0.00,11298.90,0.00
573,0.00,0.00,0.00,11287.80,0.00
574,0.00,0.00,0.00,11287.70,0.00
575,0.00,0.00,0.00,11298.20,0.00
576,0.00,0.00,0.00,11323.20,0.00
577,0.00,0.00,0.00,11341.30,0.00
578,0.00,0.00,0.00,11375.40,0.00
579,0.00,0.00,0.00,11377.80,0.00
580,0.00,0.00,0.00,11467.00,0.00
581,0.00,0.00,0.00,11419.40,0.00
582,0.00,0.00,0.00,11437.90,0.00
583,0.00,0.00,0.00,11467.80,0.00
584,0.00,0.00,0.00,11528.30,0.00
585,0.00,0.00,0.00,11491.80,0.00
586,0.00,0.00,0.00,11575.60,0.00
587,0.00,0.00,0.00,11586.70,0.00
588,0.00,0.00,0.00,11622.20,0.00
589,0.00,0.00,0.00,11585.50,0.00
590,0.00,0.00,0.00,11660.50,0.00
591,0.00,0.00,0.00,11744.60,0.00
592,0.00,0.00,0.00,11676.30,0.00
593,0.00,0.00,0.00,11690.80,0.00
594,0.00,0.00,0.00,11740.30,0.00
595,0.00,0.00,0.00,11751.10,0.00
596,0.00,0.00,0.00,11802.60,0.00
597,0.00,0.00,0.00,11741.90,0.00
598,0.00,0.00,0.00,11833.80,0.00
599,0.00,0.00,0.00,11816.30,0.00
600,0.00,0.00,0.00,11844.50,0.00
601,0.00,0.00,0.00,11865.90,0.00
602,0.00,0.00,0.00,11978.20,0.00
603,0.00,0.00,0.00,11930.90,0.00
604,0.00,0.00,0.00,12003.30,0.00
605,0.00,0.00,0.00,11985.40,0.00
606,0.00,0.00,0.00,12021.80,0.00
607,0.00,0.00,0.00,12047.60,0.00
