Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
228,8723.50,5679.90,5906.20,4516.20,3975.80
229,8729.40,5622.80,5951.10,4526.70,3984.80
230,8776.10,5695.40,5931.50,4593.40,4038.60
231,8843.90,5666.40,5965.10,4563.20,4013.20
232,8884.80,5762.70,5938.10,4668.20,4088.80
233,9016.70,5802.00,6047.40,4611.70,4102.40
234,9024.00,5795.80,6124.90,4678.40,4080.60
235,9001.50,5849.00,6031.00,4634.30,4118.20
236,9067.80,5875.70,6091.90,4712.60,4150.80
237,9114.70,5870.40,6133.00,4728.50,4146.80
238,9136.80,5846.90,6208.10,4757.00,4197.40
239,9220.20,5906.30,6328.40,4779.80,4158.40
240,9264.50,5948.80,6210.60,4798.90,4178.00
241,9253.90,6039.70,6312.00,4835.30,4233.80
242,9366.10,6067.20,6296.80,4878.60,4247.00
243,9359.20,5998.40,6328.00,4845.40,4254.60
244,9408.90,6056.20,6342.50,4910.20,4303.40
245,9431.90,6094.20,6436.40,4907.20,4329.00
246,9512.70,6116.80,6445.20,4966.10,4357.00
247,9527.40,6162.80,6387.70,4933.70,4336.20
248,9688.60,6230.90,6566.80,4983.50,4386.20
249,9692.30,6145.70,6600.90,4989.70,4346.00
250,9661.50,6244.30,6513.60,4986.80,4465.80
251,9752.60,6240.30,6613.20,5032.70,4422.60
252,9820.90,6264.90,6714.00,5056.20,4471.80
253,9831.70,6310.10,6552.70,5077.80,4463.20
254,9922.70,6327.40,6694.00,5130.60,4516.20
255,9865.70,6328.60,6760.60,5110.80,4514.80
256,9966.00,6424.20,6772.00,5140.40,4560.60
257,10047.60,6388.30,6820.00,5142.70,4556.60
258,10062.10,6379.80,6750.60,5220.70,4607.20
259,10119.90,6503.40,6885.00,5206.30,4596.20
260,10170.50,6576.70,6867.60,5241.80,4684.20
261,10201.40,6445.90,6975.70,5268.10,4666.40
262,10336.90,6578.70,7022.40,5272.30,4688.60
263,10254.70,6501.30,7023.70,5284.30,4668.20
264,10356.00,6707.20,7015.40,5308.10,4738.80
265,10412.10,6639.80,7003.10,5313.30,4708.20
266,10425.70,6747.60,7172.90,5334.40,4750.60
267,10493.80,6730.70,7146.90,5411.10,4787.00
268,10593.50,6742.90,7142.60,5408.90,4844.60
269,10564.60,6687.80,7179.80,5432.80,4780.60
270,10616.60,6716.30,7268.00,5478.70,4891.60
271,10670.10,6806.60,7180.60,5457.90,4862.60
272,10705.20,6851.30,7390.50,5498.40,4853.40
273,10721.30,6843.90,7405.90,5510.10,4876.00
274,10786.30,6922.40,7384.60,5563.80,4951.20
275,10880.90,6841.30,7409.80,5582.10,4961.80
276,10907.20,6936.70,7509.60,5561.90,4993.40
277,10917.20,6967.80,7473.30,5594.50,4964.20
278,11037.10,7056.30,7526.30,5680.00,5014.60
279,10983.90,7035.60,7433.50,5623.80,4972.80
280,11057.60,7090.30,7535.40,5723.90,5047.00
281,11120.70,7112.90,7570.80,5722.90,5032.60
282,11188.80,7060.20,7634.10,5814.70,5042.60
283,11235.80,7149.60,7667.20,5754.40,5120.20
284,11281.60,7107.70,7631.30,5806.00,5160.40
285,11374.90,7205.60,7598.30,5861.50,5149.20
286,11357.70,7219.30,7654.90,5844.40,5176.60
287,11370.20,7234.10,7805.50,5806.50,5187.20
288,11494.60,7295.00,7818.40,5880.40,5219.40
289,11482.80,7323.40,7808.90,5936.00,5226.00
290,11536.90,7295.80,7863.30,6022.30,5333.00
